YJL035C	TAD2	G1(P)	28
YHR112C		G1/S	52
YGL093W	SPC105	S	56
YER153C	PET122	M	163
YDR302W	GPI11	G1(P)	10
YBR187W		S	76
YPR156C	TPO3	G1/S	50
YOR317W	FAA1	M	171
YOR035C	SHE4	M/G1	194
YML053C		M	174
YLR042C		G2	97
YLL028W	TPO1	G1	289
YKR044W	UIP5	G1(P)	297
YKL163W	PIR3	G1	256
YFL036W	RPO41	G2	125
YBR298C	MAL31	M	156
YBR028C		S	68
YOR233W	KIN4	G1(P)	2
YOR230W	WTM1	M	172
YOR165W	SEY1	S	59
YMR180C	CTL1	M	155
YLR078C	BOS1	M	167
YKL225W		M	176
YKL035W	UGP1	G2/M	144
YJR010W	MET3	G1(P)	17
YJL095W	BCK1	M	177
YIL135C	VHS2	G1	236
YBR072W	HSP26	M	162
YOL002C		G1/S	52
YJR015W		G1(P)	24
YHR096C	HXT5	G1	214
YGR222W	PET54	G1/S	44
YDR345C	HXT3	G1	275
YDR310C	SUM1	G1(P)	16
YBR101C	FES1	G1	228
YLR396C	VPS33	G2	124
YJR155W	AAD10	G1(P)	20
YJL214W	HXT8	G2/M	137
YIL115C	NUP159	G2/M	138
YDR480W	DIG2	G1/S	46
YNR016C	ACC1	G1	204
YKR008W	RSC4	S	75
YKL062W	MSN4	G2	125
YHR099W	TRA1	G1(P)	32
YGR026W		G1/S	54
YFR028C	CDC14	M	146
YER091C	MET6	G1(P)	20
YDL028C	MPS1	M	164
YIR017C	MET28	S	59
YHR104W	GRE3	M	146
YFL045C	SEC53	G1/S	39
YCR084C	TUP1	S	87
YCL001W	RER1	G2	98
YBR299W	MAL32	S	76
YBL082C	RHK1	G1(P)	23
YPL264C		G1	246
YOR304C-A	G1	288
YNL066W	SUN4	M/G1	185
YML120C	NDI1	G1/S	52
YLL023C		M	173
YKR101W	SIR1	S	69
YKL223W		S	56
YKL052C	ASK1	M	161
YHR119W	SET1	G1(P)	0
YGR252W	GCN5	G1/S	54
YGL259W	YPS5	G2	128
YDR460W	TFB3	G1(P)	18
YBR078W	ECM33	G1(P)	22
YAL060W	BDH1	G2/M	131
YNL180C	RHO5	G1	212
YMR208W	ERG12	S	76
YLR335W	NUP2	G2	96
YLR314C	CDC3	S	74
YHR179W	OYE2	G1(P)	294
YGL125W	MET13	G1(P)	29
YDR506C		G2	119
YDR251W	PAM1	G1/S	46
YDR116C	MRPL1	G1/S	42
YDR096W	GIS1	M	160
YPR204W		G1(P)	28
YOL053W		G2	130
YKL104C	GFA1	M/G1	185
YJR116W		G1(P)	36
YIR023W	DAL81	G1(P)	19
YHR146W	CRP1	G1	216
YHR136C	SPL2	G2/M	133
YHR045W		G1(P)	36
YGR062C	COX18	G1/S	44
YBL020W	RFT1	G1(P)	29
YIL063C	YRB2	G2/M	132
YHR205W	SCH9	M	154
YHR175W	CTR2	G1/S	46
YHL046C		G1	229
YGL037C	PNC1	M	170
YEL036C	ANP1	G1(P)	10
YDR061W		G1/S	52
YDR034C	LYS14	G2	100
YDL135C	RDI1	G1/S	48
YBR049C	REB1	M	159
YPL274W	SAM3	S	73
YOR377W	ATF1	G2/M	136
YOR085W	OST3	S	58
YNR026C	SEC12	G1(P)	10
YMR105C	PGM2	G2/M	140
YLR108C		G1	204
YHL021C		G2/M	138
YGR289C	MAL11	M	164
YDR336W		M	162
YBL061C	SKT5	G1(P)	19
YOR228C		M	164
YOR187W	TUF1	G2	108
YNL322C	KRE1	G1(P)	294
YLR424W		M	171
YLR393W	ATP10	G1/S	50
YLR354C	TAL1	G2/M	134
YJR127C	ZMS1	G1	234
YIL126W	STH1	S	64
YGL128C	CWC23	G1	273
YBR094W		G1	262
YPL055C	LGE1	G1(P)	294
YPL016W	SWI1	M	162
YMR270C	RRN9	S	78
YMR070W	MOT3	M/G1	182
YKL001C	MET14	G1(P)	18
YIL138C	TPM2	S	80
YER113C		G1(P)	22
YBR059C	AKL1	M	174
